,employers,management,fertility rate,intentional homicides,labor force,literacy rate,poverty gap,parliment seats,unpaid domestic,gender parity index,primary enrollment,teenage mothers,married by 18,clusters
1538,3.39000010490417,30.7,1.315,0.53023928108,32.9990005493164,78.51,15.12,16.6666666666667,17.85,0.96,83.68,19.14,27.76,0
1539,3.36999988555908,22.6000003814697,1.315,0.85845475997,32.6650009155273,96.8037109375,0.9,21.4285714285714,17.85,0.96,83.68,19.14,27.76,0
1540,3.29999995231628,23.0300006866455,1.313,1.3073853655,32.4269981384277,78.51,15.12,21.4285714285714,17.85,0.96,83.68,19.14,3.496291,0
1541,3.35999989509583,21.4200000762939,1.309,0.77581367615,32.3600006103516,94.9104919433594,15.12,21.4285714285714,17.85,0.96,83.68,19.14,27.76,0
1542,3.36999988555908,24.1599998474121,1.303,0.61994847665,32.9259986877441,78.51,15.12,21.4285714285714,17.85,0.96,83.68,19.14,27.76,0
1543,3.47000002861023,24.1800003051758,1.296,1.029737091,33.4589996337891,78.51,15.12,21.4285714285714,17.85,0.96,83.68,19.14,27.76,0
1544,3.52999997138977,18.7800006866455,1.286,0.86878960233,32.0480003356934,78.51,15.12,21.4285714285714,17.85,0.96,83.68,19.14,27.76,0
1545,3.65000009536743,18.8299999237061,1.276,0.58504781596,32.3470001220703,78.51,15.12,21.4285714285714,17.85,0.96,83.68,19.14,27.76,0
1546,3.5,26.1200008392334,1.265,0.47182218909,31.4169998168945,78.51,15.12,21.4285714285714,17.85,0.96,83.68,19.14,27.76,0
1547,4.03000020980835,25.4300003051758,1.254,2.35,32.8720016479492,78.51,15.12,21.4285714285714,17.85,0.96,83.68,19.14,27.76,0
1548,1.74,30.7,1.243,2.35,32.6660003662109,78.51,15.12,26.1904761904762,17.85,0.96,83.68,19.14,27.76,0
1549,1.74,30.7,3.12,2.35,32.2569999694824,78.51,15.12,26.1904761904762,17.85,0.96,83.68,19.14,27.76,0
1580,1.74,30.7,4.485,2.35,46.1889991760254,78.51,15.12,17.46,17.85,1.06731998920441,94.99855,19.14,27.76,1
1581,1.00999999046326,30.7,4.33,2.35,46.3019981384277,71.2992401123047,15.12,17.46,17.85,1.06186997890472,97.27605,19.14,27.76,1
1582,1.03999996185303,30.7,4.183,2.35,46.4119987487793,78.51,15.12,17.46,17.85,1.05306005477905,96.22717,19.14,27.76,1
1583,1.12999999523163,30.7,4.041,2.35,46.5289993286133,78.51,42.4,17.46,17.85,1.03662002086639,95.38295,19.14,27.76,5
1584,1.22000002861023,30.7,3.904,2.35,46.6660003662109,78.51,15.12,17.46,17.85,1.02878999710083,95.18357,19.14,27.76,1
1585,1.48000001907349,30.7,3.774,2.35,46.8300018310547,78.51,15.12,17.46,17.85,1.01909995079041,85.28204,19.14,27.76,1
1586,1.8400000333786,30.7,3.654,2.35,46.9650001525879,78.51,15.12,17.46,17.85,1.01127994060516,85.60003,19.14,27.76,1
1587,1.76999998092651,30.7,3.546,2.35,47.1370010375977,78.51,15.12,8.51063829787234,17.85,1.00847005844116,83.68,19.14,27.76,1
1588,1.73000001907349,30.7,3.452,2.35,47.3359985351563,78.51,15.12,8.51063829787234,17.85,0.99822998046875,86.27581,19.14,27.76,1
1589,1.79999995231628,30.7,3.371,2.35,47.8870010375977,78.51,15.12,17.46,17.85,1.00296998023987,86.88879,19.14,27.76,1
1590,1.86000001430511,30.7,3.304,2.35,48.4620018005371,78.51,15.12,17.0212765957447,17.85,1.00172996520996,87.82856,19.14,27.76,1
1591,1.89999997615814,30.7,3.248,2.35,49.1150016784668,78.51,15.12,17.0212765957447,17.85,1.00071001052856,89.09618,19.14,27.76,1
1592,1.96000003814697,30.7,3.2,2.35,49.7719993591309,78.51,37.5,17.0212765957447,17.85,0.993139982223511,88.91289,19.14,27.76,1
